Idx,Distance,MPF,RESP_Azi,RESP_Ele,POOA_1,POOA_2,POOA_3,RSSI_1,RSSI_2,RSSI_3,Gain_idx
22109,42.882854,0,-68.348221,26.897612,167.090670,-167.101657,25.423139,-35,-38,-50,6
22110,43.000046,0,-66.557732,33.384651,174.111148,-164.827418,1.790826,-35,-38,-50,6
22111,42.648610,0,78.192436,32.489407,172.847682,175.978881,4.471572,-35,-38,-50,6
22112,43.117194,0,78.192436,32.713215,172.594989,175.967895,3.372906,-35,-39,-50,6
22113,42.648525,0,80.640381,32.265594,172.320322,177.363201,5.328532,-35,-39,-50,6
22114,42.648457,0,-68.348221,27.792858,167.958617,-167.090670,22.258980,-35,-39,-50,6
22115,42.882901,0,76.401947,32.265594,170.979949,174.638508,4.032105,-35,-38,-50,6
22116,43.468775,0,77.521004,32.045280,170.650349,175.528428,5.361492,-35,-38,-50,6
22117,42.882989,0,75.730507,32.045280,170.661336,174.177068,4.922025,-35,-38,-50,6
22118,42.648515,0,-63.550262,33.160839,173.781549,-160.916166,3.131199,-35,-39,-50,6
22119,42.765667,0,-68.572037,28.688105,172.902615,-167.189550,22.599567,-35,-39,-50,6
22120,43.000055,0,76.849571,32.489407,171.507309,175.088961,3.581652,-35,-38,-50,6
22121,43.117102,0,78.192436,31.821466,170.430616,175.967895,5.614185,-35,-38,-50,6
22122,43.117357,0,-68.348221,28.688105,170.606403,-166.947844,20.687887,-35,-38,-50,6
22123,42.062535,0,76.849571,28.240480,171.056856,175.077975,22.967620,-35,-38,-50,6
22124,43.234306,0,79.745132,33.160839,173.737602,176.868801,3.131199,-35,-38,-50,6
22125,42.882825,0,74.611450,32.489407,171.551256,173.287149,3.323466,-35,-38,-50,6
22126,42.531186,0,75.059074,32.045280,170.199896,173.737602,4.482559,-35,-38,-50,6
22127,42.414209,0,77.521004,32.265594,171.056856,175.539415,4.405652,-35,-38,-51,6
22128,42.648356,0,78.192436,33.160839,173.353069,175.978881,2.241279,-35,-38,-50,6
22129,42.297007,0,75.282890,32.489407,170.979949,173.770562,3.208106,-35,-39,-50,6
22130,43.351655,0,-66.557732,28.464293,170.540483,-164.838404,22.039247,-35,-39,-50,6
22131,42.882976,0,78.416252,32.937027,172.902615,176.044801,3.142186,-35,-38,-50,6
22132,43.000022,0,77.521004,31.821466,170.221870,175.528428,5.306558,-35,-39,-50,6
22133,43.468894,0,77.521004,32.265594,171.320536,175.528428,4.109012,-35,-38,-50,6
22134,43.351584,0,77.521004,28.911917,170.979949,175.528428,20.138554,-35,-38,-50,6
22135,43.000146,0,76.401947,32.265594,171.089816,174.627522,3.955199,-35,-38,-51,6
22136,42.414081,0,82.654686,32.937027,173.298135,178.209174,3.581652,-35,-38,-50,6
22137,42.531396,0,-65.438675,28.911917,173.353069,-163.377178,21.808527,-35,-39,-50,6
22138,42.882920,0,78.416252,32.937027,172.540056,176.033815,2.680746,-35,-39,-50,6
22139,42.882721,0,-66.557732,27.792858,169.529710,-164.860378,23.522446,-35,-39,-50,6
22140,42.531138,0,78.863876,28.240480,170.166936,176.341441,22.149113,-35,-39,-50,6
22141,42.882877,0,76.849571,31.821466,169.716483,175.077975,5.361492,-35,-39,-50,6
22142,42.765676,0,75.282890,32.045280,170.221870,173.880428,4.405652,-35,-39,-50,6
22143,42.765644,0,79.297508,32.937027,173.111362,176.627094,3.515732,-35,-38,-50,6
22144,42.882949,0,75.730507,33.160839,173.298135,174.242988,2.680746,-35,-38,-50,6
22145,42.414197,0,78.863876,32.265594,171.111789,176.341441,4.471572,-35,-38,-50,6
22146,43.351678,0,79.087685,33.160839,173.353069,176.484268,2.142399,-35,-39,-50,6
22147,42.882883,0,76.849571,32.265594,171.540269,175.088961,4.482559,-35,-39,-50,6
22148,42.765619,0,-65.886299,28.016670,169.639576,-163.959471,23.050020,-35,-38,-50,6
22149,43.234473,0,80.416565,28.240480,169.782403,177.231361,22.324900,-35,-39,-50,6
22150,43.586102,0,-66.333916,28.240480,170.639363,-164.497818,23.269753,-35,-39,-50,6
22151,42.531391,0,73.044769,32.045280,171.056856,171.957762,5.218665,-35,-38,-50,6
22152,42.999915,0,-66.781540,32.713215,171.111789,-165.069124,2.241279,-35,-39,-50,6
22153,42.531250,0,81.535622,33.160839,174.242988,177.758721,3.515732,-35,-38,-50,6
22154,43.351477,0,80.640381,32.713215,173.210242,177.308267,4.032105,-35,-38,-50,6
22155,43.937663,0,81.535622,34.279900,177.758721,177.758721,1.779839,-35,-38,-50,6
22156,43.234543,0,75.730507,31.821466,169.266030,174.177068,4.911039,-35,-39,-50,6
22157,42.765611,0,-69.019661,32.265594,169.771416,-167.749870,2.636799,-35,-38,-50,6
22158,43.585881,0,80.640381,32.045280,171.946776,177.319254,5.811945,-35,-39,-50,6
22159,42.413957,0,78.192436,32.045280,171.551256,175.989868,5.306558,-35,-38,-50,6
22160,42.648521,0,78.192436,32.489407,171.869869,175.890988,4.021119,-35,-39,-50,6
22161,42.297051,0,79.087685,33.160839,174.188055,176.484268,3.131199,-35,-38,-50,6
22162,42.648371,0,79.745132,33.160839,173.748589,176.879788,3.208106,-35,-38,-50,6
22163,42.999934,0,-68.348221,28.688105,171.100803,-167.090670,21.369060,-35,-38,-50,6
22164,42.648541,0,79.087685,32.489407,172.605976,176.418348,4.998932,-35,-38,-51,6
22165,42.414077,0,76.401947,31.373844,168.870510,174.693442,6.635945,-35,-38,-50,6
22166,42.648543,0,78.192436,32.489407,171.507309,175.978881,4.032105,-35,-38,-50,6
